Input Size,Run Time (ns)
0,2870
1,2598
2,3149
3,3236
4,3136
5,3298
6,3132
7,3276
8,3084
9,3193
10,3161
11,3237
12,3411
13,3588
14,3669
15,3709
16,3660
17,3519
18,3491
19,3576
20,3519
21,3603
22,3486
23,3638
24,5678
Input Size,Run Time (ns)
0,2036
1,2404
2,2926
3,2685
4,2764
5,2714
6,2546
7,2520
8,2560
9,2660
10,2811
11,2638
12,2690
13,2847
14,3588
15,2988
16,3221
17,2641
18,2975
19,3290
20,2845
21,3189
22,2942
23,3019
24,5299
Input Size,Run Time (ns)
0,1895
1,1973
2,2406
3,2824
4,3420
5,2775
6,2889
7,2826
8,2738
9,2456
10,2630
11,2900
12,2809
13,2967
14,3083
15,2925
16,2691
17,2817
18,2721
19,2994
20,2868
21,2796
22,3134
23,3217
24,4889
